Assumption / Setting;Values;Explanation;Comment
destination_type; 'location' or 'country'; defines destination type (single point location or country)
destination_location;[longitude, latitude];Coordinates of destination;
destination_polygon; {country_name: [state_name_1, state_name_2, ...]}; dictionary with country names as keys and list with country states as values; keep state name list empty if complete country
destination_country;string;Country of destination;
destination_continent;string;Continent of destination;
origin_continents;list;If not empty, random locations will only be created on indicated continents. Empty if all continents;
low_temp_heat_available_at_start;True / False;Indicates if low-temperature heat is available at start;"Affects conversion costs; value defined in cost_type"
mid_temp_heat_available_at_start;True / False;Indicates if medium-temperature heat is available at start;"Affects conversion costs; value defined in cost_type"
high_temp_heat_available_at_start;True / False;Indicates if high-temperature heat is available at start;"Affects conversion costs; value defined in cost_type"
number_locations;integer;Number of random locations to create;
minimal_latitude;latitude;Sets minimal latitude of random locations;will be overwritten if minimal_example is applied
maximal_latitude;latitude;Sets maximal latitude of random locations;will be overwritten if minimal_example is applied
minimal_longitude;longitude;Sets minimal longitude of random locations;will be overwritten if minimal_example is applied
maximal_longitude;longitude;Sets maximal longitude of random locations;will be overwritten if minimal_example is applied
location_creation_type; 'uniform' or 'random'; distributed start locations randomly or in uniformly
use_voronoi_cells; True / False; based on locations, onshore area is divided into voronoi cells instead of taking value from era 5 cell
weight_hydrogen_costs_by_quantity; True / False; if True then the value of the voronoi cell is based on the by quantity weighted costs per era 5 cell
each_country_at_least_one_location; True / False; if True: makes sure that each country is represented at least by one start location
